source_path	destination_path	size_bytes_before	source_sha256_before	action	rationale
tables/00_design/sample_inventory_public.tsv		35957	3c604ecfb52210db9223d89045d95ccfa4117acf449fe407ff6c28387729e33e	removed_obsolete	Inventario sustituido por los metadatos técnicos autorizados; no tenía referencias.
chapters/includes/sample_inventory_table.html		63949	3fcf54dd43923aa376155e5dcbd34bd4698631a6f21d4f2a6f109ce6944803bd	removed_obsolete	Include del inventario sustituido; no tenía referencias.
tables/00_metadata/CARPIO_analysis_metadata.tsv	data/metadata/CARPIO_analysis_metadata.tsv	82346	25a0628ee24922a51fc6da6f010ebd55e50b0b77b365ab566d856e8807d027f8	moved	Metadato descargable canónico.
tables/00_metadata/CARPIO_clinical_metadata.tsv	data/metadata/CARPIO_clinical_metadata.tsv	24019	ba0945b27505e3239ff0d391648f5af5c174b485038ef15951f870582ff4f5a9	moved	Metadato descargable canónico.
tables/00_metadata/CARPIO_clinical_metadata.xlsx	data/metadata/CARPIO_clinical_metadata.xlsx	116023	89b6ff479ed296c8df74df12f3fa2c8b90dff59837fc542869ed1494c53b7f48	moved	Metadato descargable canónico.
tables/00_metadata/CARPIO_technical_metadata.tsv	data/metadata/CARPIO_technical_metadata.tsv	55303	45f7b4f2bff6cb53a53eb0a637e9fd7b67c6d061d617de773200bc9ba9ad60e6	moved	Metadato descargable canónico.
tables/00_metadata/CARPIO_technical_metadata.xlsx	data/metadata/CARPIO_technical_metadata.xlsx	90852	0892d2dda9100dbf1f883b05312c6f5f93c3953fd914cc9d67ebb45ae7cf219b	moved	Metadato descargable canónico.
tables/01_preprocessing/fastqc_raw_library_depth_by_group.tsv	tables/04_control_calidad_preprocesamiento/Table-4.1-profundidad-bibliotecas-crudas.tsv	303	cbc76b5fe2e28acb2ea5ead7a28561470e80d327756d373077beef47d90471bd	moved	Dato de apoyo de Tabla 4.1.
tables/01_preprocessing/fastqc_trimmed_library_depth_by_group.tsv	tables/04_control_calidad_preprocesamiento/Table-4.1-profundidad-bibliotecas-recortadas.tsv	303	cbc76b5fe2e28acb2ea5ead7a28561470e80d327756d373077beef47d90471bd	moved	Dato de apoyo de Tabla 4.1.
tables/01_preprocessing/primer_trimming_read_retention_by_batch.tsv	tables/04_control_calidad_preprocesamiento/Table-4.2-retencion-primers-por-ensayo.tsv	293	0161d1d945d936913a7d90c099d00a51c5aa7a4fb557d6e60e15092ae436c110	moved	Dato de apoyo de Tabla 4.2.
tables/01_preprocessing/primer_trimming_verification_summary.tsv	tables/04_control_calidad_preprocesamiento/Table-4.2-verificacion-primers-residuales.tsv	443	a8da7da8f7de595cb92b47709b73b27137132fa384130b8a0c0dd280a8e1be23	moved	Dato de apoyo de Tabla 4.2.
tables/01_preprocessing/repeated_biopsies_raw_depth_comparison.tsv	tables/04_control_calidad_preprocesamiento/Table-4.3-profundidad-biopsias-repetidas.tsv	934	8ad03e421448df7018c0e95a379c0c2ecc02e18f6e34fcb6301f80188fcafeaa	moved	Dato de apoyo de Tabla 4.3.
tables/01_preprocessing/repeated_biopsies_raw_depth_summary.tsv	tables/04_control_calidad_preprocesamiento/Table-4.3-resumen-profundidad-biopsias-repetidas.tsv	1625	65e865be4253291521f01ee6267a1ff74015e122bd85423bf7c711b66ec4cd6c	moved	Dato de apoyo de Tabla 4.3.
figures/01_preprocessing/repeated_biopsies_raw_depth_paired.png	figures/04_control_calidad_preprocesamiento/Fig-4.1-profundidad-biopsias-repetidas.png	200639	50311460e7246720f7375bdf6de2fba4a8b78d50cecf32f7410d6cbdc16e8ac3	moved	Figura 4.1 PNG.
figures/01_preprocessing/repeated_biopsies_raw_depth_paired.pdf	figures/04_control_calidad_preprocesamiento/Fig-4.1-profundidad-biopsias-repetidas.pdf	6170	e3bb2681507806bba533ad70bc5b3b561fd5cbd2139e91c4be3e327007ca8436	moved	Figura 4.1 PDF.
multiqc/raw/fastqc_raw_multiqc_report.html	multiqc/04_control_calidad_preprocesamiento/MultiQC-4.1-fastqc-crudo.html	10529749	a457dd1a222c2c2b2deba6cbea91c8d90a0e7bf51194a074ba38e2ec05e15aea	moved	Informe QC previo al recorte.
multiqc/trimmed/fastqc_trimmed_multiqc_report.html	multiqc/04_control_calidad_preprocesamiento/MultiQC-4.2-fastqc-recortado.html	10245095	5ac6522d003ce4f7eba7b3a12ea39101e1cbd1c990a6d33414375c5234aead23	moved	Informe QC posterior al recorte.
